,Year,Country,Avg_Temperature_degC,CO2_Emissions_tons_per_capita,Sea_Level_Rise_mm,Rainfall_mm,Population,Renewable_Energy_pct,Extreme_Weather_Events,Forest_Area_pct,Abv_Avg_Events,Climate,Region
43,2003,'South Africa',23.166666666666668,7.766666666666667,2.9,2141,885968412.3333334,24.433333333333334,13,39.266666666666666,1,Warm,Africa
44,2003,Argentina,10.0,16.5,1.3,626,1211429158.0,21.9,13,17.2,1,Cold,South America
45,2003,Australia,22.400000000000002,13.4,4.3,2830,652846865.3333334,23.766666666666666,5,43.86666666666667,0,Warm,Oceania
46,2003,Brazil,17.45,12.75,4.7,1980,533033990.5,34.65,9,41.25,0,Temperate,South America
47,2003,Canada,11.6,15.2,1.9,2798,625984226.0,31.8,0,58.3,0,Cold,North America
48,2003,China,22.02,10.16,4.9,2764,740185242.6,24.04,14,42.3,1,Warm,Asia
49,2003,France,18.766666666666666,9.9,4.2,1319,674678130.6666666,31.433333333333334,14,37.23333333333333,1,Temperate,Europe
50,2003,Germany,30.5,7.7,3.0,2871,1038669571.0,19.4,10,33.5,0,Warm,Europe
51,2003,India,11.0,16.0,4.4,1990,158459652.33333334,36.13333333333333,12,33.86666666666667,1,Cold,Asia
52,2003,Indonesia,12.7,16.0,2.3,2216,770400538.0,43.0,7,52.3,0,Temperate,Asia
53,2003,Japan,24.96666666666667,10.833333333333334,4.5,2673,479709476.0,27.46666666666667,11,39.666666666666664,1,Warm,Asia
54,2003,Mexico,20.4,11.299999999999999,4.1,2222,302193487.6666667,27.700000000000003,12,36.43333333333333,1,Temperate,South America
55,2003,Russia,16.233333333333334,10.466666666666667,4.9,2271,829650407.3333334,18.366666666666667,12,50.6,1,Temperate,Europe
56,2003,UK,9.0,9.5,3.4,1142,589028994.0,16.4,11,22.9,1,Cold,Europe
57,2003,USA,15.949999999999998,8.133333333333333,3.5,2821,858290009.6666666,23.46666666666667,11,34.93333333333333,1,Temperate,North America
58,2004,'South Africa',24.15,9.7,4.8,1466,748637333.5,17.275,10,54.95,0,Warm,Africa
59,2004,Argentina,12.600000000000001,5.3,2.0,1416,928702111.5,23.7,1,43.5,0,Temperate,South America
60,2004,Australia,14.62,7.68,3.2,1962,666948750.8,20.8,12,38.96,1,Temperate,Oceania
61,2004,Brazil,16.4,10.1,3.8,1641,681529141.0,6.6,7,27.7,0,Temperate,South America
62,2004,Canada,19.85,5.675,4.9,2744,215015307.5,41.325,14,53.175000000000004,1,Temperate,North America
63,2004,China,21.14,10.9,3.4,2852,332979499.0,36.96,11,31.32,1,Temperate,Asia
64,2004,France,20.7,10.7,3.5,2321,923109245.5,9.05,11,46.2,1,Temperate,Europe
65,2004,Germany,17.075,13.0,4.7,2794,734279667.0,37.0,14,60.0,1,Temperate,Europe
66,2004,India,21.2,13.525,4.4,2636,554418694.5,32.625,14,35.15,1,Temperate,Asia
67,2004,Indonesia,14.2,11.8,3.7,2817,664034493.8,24.880000000000003,14,51.279999999999994,1,Temperate,Asia
68,2004,Japan,13.580000000000002,11.84,4.0,2621,976239642.0,41.54,10,35.739999999999995,0,Temperate,Asia
69,2004,Mexico,34.2,9.7,2.6,1096,1177772833.0,11.0,7,40.0,0,Warm,South America
70,2004,Russia,32.0,2.8499999999999996,3.1,2679,719886955.0,28.6,8,37.95,0,Warm,Europe
71,2004,UK,15.4,7.966666666666666,3.4,2763,643196659.0,31.233333333333334,8,24.100000000000005,0,Temperate,Europe
72,2004,USA,22.0,13.299999999999999,3.2,2631,1161504021.6666667,35.233333333333334,13,39.0,1,Warm,North America
73,2005,Argentina,14.283333333333333,9.549999999999999,4.1,2660,866439171.1666666,21.283333333333335,12,39.86666666666667,1,Temperate,South America
74,2005,Australia,34.4,4.0,4.8,2014,748486965.0,15.6,9,67.1,0,Warm,Oceania
75,2005,Brazil,34.4,5.0,3.7,2132,104922177.0,29.3,3,46.9,0,Warm,South America
76,2005,Canada,16.185714285714287,7.785714285714286,4.8,2872,891024638.8571428,25.2,14,44.1,1,Temperate,North America
77,2005,France,29.7,18.6,2.5,1501,1030270792.0,21.5,11,63.4,1,Warm,Europe
78,2005,Germany,27.266666666666666,11.066666666666668,4.0,2297,1223339775.6666667,18.733333333333334,11,50.36666666666667,1,Warm,Europe
79,2005,India,21.45,8.75,4.2,1959,576524537.875,26.525,13,45.1875,1,Temperate,Asia
80,2005,Indonesia,18.8,3.4499999999999997,4.3,654,552297077.5,15.0,14,36.95,1,Temperate,Asia
81,2005,Japan,10.7,15.7,1.1,629,1328981569.0,27.6,14,16.3,1,Cold,Asia
82,2005,Mexico,7.2,5.2,1.1,1692,1128035409.0,33.3,8,30.0,0,Cold,South America
83,2005,Russia,15.55,1.6,3.6,2660,914440976.0,43.3,14,38.7,1,Temperate,Europe
84,2005,UK,19.366666666666667,10.1,4.2,2579,501254289.3333333,26.666666666666668,11,18.0,1,Temperate,Europe
85,2005,USA,27.1,12.0,2.5,622,1152039496.0,17.9,13,17.7,1,Warm,North America
86,2006,'South Africa',9.05,13.75,4.1,2794,232215457.0,25.049999999999997,9,40.0,0,Cold,Africa
87,2006,Argentina,22.75,12.075000000000001,4.6,2272,759524025.0,34.125,13,46.875,1,Warm,South America
88,2006,Australia,20.4,1.8,3.6,773,174232548.0,39.6,0,26.3,0,Temperate,Oceania
89,2006,Brazil,22.233333333333334,11.733333333333333,3.8,2815,769149289.0,30.633333333333336,12,41.666666666666664,1,Warm,South America
90,2006,Canada,16.633333333333333,8.5,3.6,2249,879102652.0,33.7,14,42.266666666666666,1,Temperate,North America
91,2006,China,11.5,10.5,3.8,2865,978299365.5,20.2,10,58.5,0,Cold,Asia
92,2006,France,16.400000000000002,15.4,3.8,2138,899768321.3333334,37.03333333333333,8,20.933333333333334,0,Temperate,Europe
93,2006,Germany,25.0,7.9,4.6,1605,703458181.0,19.2,1,22.6,0,Warm,Europe
94,2006,India,16.4,5.4,3.7,2452,30380783.0,31.8,11,22.6,1,Temperate,Asia
95,2006,Indonesia,20.7,8.825000000000001,4.9,2483,793988826.75,32.95,14,43.125,1,Temperate,Asia
96,2006,Japan,27.6,14.4,4.8,2726,63232362.0,26.2,9,12.9,0,Warm,Asia
97,2006,Mexico,20.55,3.4000000000000004,4.1,1862,1163003844.0,22.450000000000003,7,43.4,0,Temperate,South America
98,2006,Russia,24.333333333333332,6.466666666666666,3.3,2222,951813428.6666666,23.133333333333336,14,27.066666666666666,1,Warm,Europe
99,2006,UK,16.375,11.925,4.4,2206,544496605.25,24.375,14,42.975,1,Temperate,Europe
100,2006,USA,24.54,13.4,3.8,2914,814080298.0,30.68,12,58.3,1,Warm,North America
101,2007,'South Africa',17.1,10.8,1.2,1598,1245372198.0,21.2,7,62.9,0,Temperate,Africa
102,2007,Argentina,7.7,19.9,1.6,918,203114192.0,16.9,10,58.7,0,Cold,South America
103,2007,Brazil,25.3,19.9,2.3,2051,196111561.0,39.9,3,24.0,0,Warm,South America
104,2007,Canada,29.4,10.1,4.0,1388,274322712.0,18.75,12,47.3,1,Warm,North America
105,2007,China,11.5,8.633333333333333,3.7,2251,481125480.6666667,25.866666666666664,12,39.86666666666667,1,Cold,Asia
106,2007,France,27.166666666666668,9.9,4.1,2438,640646322.3333334,28.0,12,66.03333333333333,1,Warm,Europe
107,2007,Germany,20.057142857142857,8.585714285714285,4.3,2906,559247753.1428572,26.67142857142857,13,38.271428571428565,1,Temperate,Europe
108,2007,India,29.333333333333332,11.666666666666666,2.2,2077,716546880.6666666,23.866666666666664,14,26.866666666666664,1,Warm,Asia
109,2007,Indonesia,19.942857142857143,13.0,3.8,2937,759156740.7142857,17.957142857142856,12,34.98571428571429,1,Temperate,Asia
110,2007,Japan,15.4,1.3,4.3,921,194923647.0,31.5,3,45.1,0,Temperate,Asia
111,2007,Mexico,8.6,4.1,1.9,880,1275080026.0,21.5,2,43.6,0,Cold,South America
112,2007,Russia,24.2,9.98,4.4,2807,855377427.4,30.360000000000003,14,57.660000000000004,1,Warm,Europe
113,2007,UK,12.05,9.8,3.7,1678,1078034288.0,43.3,10,43.0,0,Temperate,Europe
114,2007,USA,20.166666666666668,8.666666666666666,4.3,2539,483789758.6666667,7.433333333333334,14,24.400000000000002,1,Temperate,North America
115,2008,'South Africa',8.2,0.8,4.2,1061,748997300.0,30.1,6,68.3,0,Cold,Africa
116,2008,Argentina,20.759999999999998,8.8,4.8,2386,955282066.0,36.3,14,36.239999999999995,1,Temperate,South America
117,2008,Australia,19.200000000000003,8.5,3.2,2484,1224480892.5,32.6,14,37.7,1,Temperate,Oceania
118,2008,Brazil,20.6,8.86,4.5,2489,502293315.6,30.46,13,53.720000000000006,1,Temperate,South America
119,2008,Canada,14.633333333333333,13.666666666666666,3.9,2999,317765794.0,17.2,14,34.8,1,Temperate,North America
120,2008,China,34.8,19.8,2.8,904,1119409767.0,20.2,9,53.5,0,Warm,Asia
121,2008,France,13.0,14.066666666666668,2.7,2851,228496119.66666666,34.9,13,58.46666666666667,1,Temperate,Europe
122,2008,Germany,28.1,3.7,1.4,2223,333786819.0,10.7,9,66.0,0,Warm,Europe
123,2008,India,16.3,18.7,4.8,2141,281361562.0,47.8,2,30.2,0,Temperate,Asia
124,2008,Indonesia,15.75,7.4,1.7,1473,376533533.0,38.400000000000006,11,45.25,1,Temperate,Asia
125,2008,Japan,16.55,9.9,4.7,2334,452369020.0,23.0,13,31.799999999999997,1,Temperate,Asia
126,2008,Mexico,25.1,4.6,2.4,2894,237078466.0,7.8,5,53.1,0,Warm,South America
127,2008,Russia,21.900000000000002,10.883333333333333,4.5,2769,936358385.8333334,26.316666666666666,14,36.516666666666666,1,Temperate,Europe
128,2008,USA,19.5,17.7,2.5,1419,1140062010.0,20.1,0,35.9,0,Temperate,North America
129,2009,'South Africa',22.599999999999998,12.6,2.2,2834,485829785.3333333,11.466666666666667,10,56.23333333333333,0,Warm,Africa
130,2009,Argentina,17.766666666666666,6.933333333333334,4.7,2634,728025145.0,22.733333333333334,14,46.06666666666666,1,Temperate,South America
131,2009,Brazil,31.5,9.3,3.6,1149,172465953.0,23.7,9,15.4,0,Warm,South America
132,2009,Canada,24.1,15.3,3.2,557,915322799.0,49.4,8,43.6,0,Warm,North America
133,2009,France,8.4,17.9,1.6,839,619079995.0,39.3,5,57.1,0,Cold,Europe
134,2009,Germany,18.633333333333333,8.0,3.7,2592,968925346.6666666,30.566666666666666,13,43.86666666666667,1,Temperate,Europe
135,2009,India,23.25,11.4,4.6,2730,731355143.0,14.55,6,56.099999999999994,0,Warm,Asia
136,2009,Indonesia,17.55,14.1,1.6,2994,690229827.5,38.2,14,54.1,1,Temperate,Asia
137,2009,Japan,34.25,11.4,3.8,1598,114498662.0,37.45,6,19.25,0,Warm,Asia
138,2009,Mexico,25.5,2.5,3.6,2723,144553139.0,30.0,5,66.3,0,Warm,South America
139,2009,Russia,26.05,12.8,4.6,1689,1034046318.5,14.299999999999999,14,50.25,1,Warm,Europe
140,2009,UK,15.35,14.1,2.7,1401,762789216.5,20.7,7,45.75,0,Temperate,Europe
141,2009,USA,10.625,10.5,4.6,2064,778748288.25,26.8,4,30.025,0,Cold,North America
142,2010,'South Africa',12.75,11.45,3.6,2137,1157809002.0,12.25,10,29.2,0,Temperate,Africa
143,2010,Argentina,15.2,7.7,3.2,1892,634993236.0,19.3,7,42.5,0,Temperate,South America
144,2010,Australia,21.833333333333332,3.966666666666667,4.5,2599,791472737.3333334,20.533333333333335,7,43.26666666666667,0,Temperate,Oceania
145,2010,Brazil,16.419999999999998,12.26,5.0,2329,774635388.0,21.64,12,37.18,1,Temperate,South America
146,2010,Canada,5.5,13.7,4.8,2145,72556185.0,44.3,9,52.4,0,Cold,North America
147,2010,China,18.599999999999998,11.766666666666666,3.5,2915,450149088.0,28.066666666666666,14,62.666666666666664,1,Temperate,Asia
148,2010,France,14.0,2.9,2.1,1085,218199220.0,17.1,14,65.9,1,Temperate,Europe
149,2010,Germany,24.9,11.2,1.4,1841,63908951.0,40.7,10,21.9,0,Warm,Europe
150,2010,Indonesia,15.719999999999999,9.24,4.2,2466,802621693.6,22.240000000000002,13,36.760000000000005,1,Temperate,Asia
151,2010,Japan,24.5,12.2,1.7,610,156286200.0,23.2,12,58.6,1,Warm,Asia
152,2010,Mexico,24.366666666666664,10.133333333333335,2.9,2561,1284823302.3333333,44.1,9,38.96666666666667,0,Warm,South America
153,2010,Russia,19.85,11.15,4.9,1796,384067519.5,16.65,3,15.65,0,Temperate,Europe
154,2010,UK,19.3,10.5,4.3,891,1297221349.0,22.8,7,49.8,0,Temperate,Europe
155,2011,'South Africa',17.666666666666668,8.299999999999999,4.2,2568,992536055.0,26.166666666666668,5,43.9,0,Temperate,Africa
156,2011,Australia,18.16,12.08,4.6,2625,932632948.6,34.42,10,40.6,0,Temperate,Oceania
157,2011,Brazil,22.47142857142857,9.585714285714285,4.6,2579,920252099.7142857,24.385714285714283,14,37.0,1,Warm,South America
158,2011,China,17.98,12.040000000000001,4.8,2562,709910008.0,23.44,13,35.839999999999996,1,Temperate,Asia
159,2011,France,21.7,5.2,2.6,1181,1214544133.0,33.1,14,54.4,1,Temperate,Europe
160,2011,Germany,24.1,17.3,2.1,2854,398407112.0,41.0,3,19.8,0,Warm,Europe
161,2011,India,10.3,4.5,4.8,1530,575572757.0,28.6,0,62.0,0,Cold,Asia
162,2011,Indonesia,13.766666666666667,10.366666666666667,3.8,2881,1161008934.3333333,26.53333333333333,9,47.800000000000004,0,Temperate,Asia
163,2011,Japan,18.666666666666668,12.700000000000001,3.3,2814,832151942.0,21.8,14,41.1,1,Temperate,Asia
164,2011,Mexico,17.4,10.78,4.5,2976,907518087.8,20.18,11,39.14,1,Temperate,South America
165,2011,Russia,14.725,5.175000000000001,4.7,2829,706351718.0,29.275,12,47.75,1,Temperate,Europe
166,2011,UK,19.45,5.65,4.1,2663,454352788.25,29.849999999999998,11,47.075,1,Temperate,Europe
167,2011,USA,30.8,12.8,2.6,1116,562758301.5,36.650000000000006,9,27.450000000000003,0,Warm,North America
168,2012,'South Africa',20.64,9.559999999999999,5.0,2885,640320734.4,19.18,14,37.22,1,Temperate,Africa
169,2012,Argentina,20.950000000000003,8.35,3.8,678,688300017.5,21.45,12,16.85,1,Temperate,South America
170,2012,Australia,17.05,4.6499999999999995,4.3,2784,704103146.0,25.200000000000003,12,57.05,1,Temperate,Oceania
171,2012,Brazil,22.5,11.600000000000001,3.1,2459,570872848.3333334,47.56666666666666,13,27.03333333333333,1,Warm,South America
172,2012,Canada,17.380000000000003,10.559999999999999,4.6,2435,596571825.2,21.2,14,43.14,1,Temperate,North America
173,2012,China,19.966666666666665,15.633333333333333,4.1,2701,573194554.3333334,44.300000000000004,11,54.1,1,Temperate,Asia
174,2012,France,14.7,7.7,4.8,2122,735205326.2,21.28,14,33.739999999999995,1,Temperate,Europe
175,2012,Germany,21.2,10.100000000000001,3.1,1684,824033042.0,28.900000000000002,13,41.85,1,Temperate,Europe
176,2012,India,12.5,10.6,4.9,2011,745107333.0,33.766666666666666,13,36.4,1,Temperate,Asia
177,2012,Indonesia,14.700000000000001,10.75,2.7,1817,1250899821.0,24.3,9,18.25,0,Temperate,Asia
178,2012,Japan,10.55,18.25,4.6,1903,916828451.0,16.95,6,26.4,0,Cold,Asia
179,2012,Mexico,17.5,14.5,4.4,2708,200605956.0,27.85,7,42.3,0,Temperate,South America
180,2012,Russia,17.4,8.1,4.3,2806,1085609772.0,41.5,2,22.8,0,Temperate,Europe
181,2012,UK,15.4,6.95,2.4,2543,820208263.5,34.0,14,64.75,1,Temperate,Europe
182,2012,USA,19.099999999999998,13.033333333333333,3.8,2626,610799441.0,26.866666666666664,14,41.56666666666666,1,Temperate,North America
183,2013,'South Africa',20.2,10.4,1.8,1047,751337219.3333334,16.333333333333332,9,50.76666666666667,0,Temperate,Africa
184,2013,Argentina,27.32,9.120000000000001,5.0,2881,909123895.4,24.720000000000002,14,30.9,1,Warm,South America
185,2013,Brazil,23.233333333333334,14.566666666666668,4.6,2353,564851910.6666666,22.766666666666666,13,43.63333333333333,1,Warm,South America
186,2013,Canada,12.916666666666666,14.700000000000001,4.6,2580,794879756.8333334,23.86666666666667,14,40.5,1,Temperate,North America
187,2013,China,14.4,1.5,4.2,1359,709386257.0,18.6,13,12.9,1,Temperate,Asia
188,2013,France,14.866666666666665,11.633333333333333,4.7,2039,576593830.0,36.56666666666667,13,28.566666666666663,1,Temperate,Europe
189,2013,Germany,17.9,4.8,4.6,1198,226407206.0,19.4,13,17.7,1,Temperate,Europe
190,2013,India,21.65,14.5,2.7,1404,965418807.5,45.75,8,26.65,0,Temperate,Asia
191,2013,Mexico,19.9,4.6,1.8,2656,411130449.5,31.2,14,55.25,1,Temperate,South America
192,2013,Russia,14.75,10.575,4.2,2796,362727117.25,28.35,14,30.475,1,Temperate,Europe
193,2013,USA,20.3,14.8,3.2,886,202353097.0,17.6,12,29.0,1,Temperate,North America
194,2014,'South Africa',17.433333333333334,9.85,4.8,2560,600011214.3333334,22.383333333333336,13,34.68333333333333,1,Temperate,Africa
195,2014,Argentina,26.366666666666664,14.533333333333333,4.2,2618,815849504.3333334,14.899999999999999,6,51.36666666666667,0,Warm,South America
196,2014,Australia,27.2,2.0,3.9,589,761742932.0,34.8,14,37.2,1,Warm,Oceania
197,2014,Brazil,24.075,10.325,3.5,2440,673227342.5,29.25,11,41.275,1,Warm,South America
198,2014,Canada,27.6,11.3,4.1,2839,995009297.5,42.55,10,56.900000000000006,0,Warm,North America
199,2014,China,7.6,10.2,3.2,577,316387268.0,10.1,1,12.0,0,Cold,Asia
200,2014,France,23.942857142857143,8.77142857142857,4.7,2933,618405148.0,25.642857142857142,14,28.099999999999998,1,Warm,Europe
201,2014,Germany,21.7,17.7,2.9,688,598463676.0,48.6,10,50.4,0,Temperate,Europe
202,2014,India,24.7,11.35,4.2,2263,826281791.5,37.2,10,19.35,0,Warm,Asia
203,2014,Indonesia,12.725,10.825,3.4,2849,821554077.5,36.4,9,26.950000000000003,0,Temperate,Asia
204,2014,Japan,23.2,11.325,4.9,2852,948045820.75,26.25,13,36.9,1,Warm,Asia
205,2014,Mexico,27.46666666666667,16.5,4.6,2203,516234719.6666667,29.433333333333334,11,57.06666666666666,1,Warm,South America
206,2014,Russia,9.4,9.7,4.5,1446,513004938.0,24.0,5,51.4,0,Cold,Europe
207,2014,UK,16.75,15.725,2.7,1799,995875536.5,30.075,13,35.650000000000006,1,Temperate,Europe
208,2014,USA,5.5,10.7,3.2,1015,560097732.0,42.2,2,50.4,0,Cold,North America
209,2015,'South Africa',23.975,8.2,4.5,2744,740386842.25,24.674999999999997,13,43.625,1,Warm,Africa
210,2015,Argentina,20.7,12.8,4.3,2761,455823356.0,50.0,3,19.4,0,Temperate,South America
211,2015,Australia,6.2,1.5,3.2,2271,428326345.0,49.8,6,17.0,0,Cold,Oceania
212,2015,Brazil,17.75,14.3,4.5,2017,1069665487.5,13.7,7,39.65,0,Temperate,South America
213,2015,Canada,25.4,4.5,4.6,2286,646048990.0,10.9,11,46.7,1,Warm,North America
214,2015,China,19.766666666666666,15.033333333333333,3.4,1969,717339050.0,18.53333333333333,14,55.199999999999996,1,Temperate,Asia
215,2015,France,21.560000000000002,8.3,4.7,2527,913213256.4,26.580000000000002,13,31.279999999999994,1,Temperate,Europe
216,2015,Germany,18.833333333333332,5.033333333333334,3.8,2354,393454944.0,43.43333333333334,13,42.73333333333333,1,Temperate,Europe
217,2015,India,15.65,7.1,4.8,1493,892121368.5,37.2,13,54.85,1,Temperate,Asia
218,2015,Indonesia,22.166666666666668,6.033333333333334,3.4,1978,736418344.3333334,41.300000000000004,14,49.800000000000004,1,Warm,Asia
219,2015,Japan,23.200000000000003,12.100000000000001,4.3,2235,320918203.5,24.75,12,37.8,1,Warm,Asia
220,2015,Mexico,13.45,12.149999999999999,4.1,1840,650162904.0,41.05,10,61.7,0,Temperate,South America
221,2015,Russia,21.849999999999998,12.733333333333334,4.7,2891,387339941.1666667,37.983333333333334,9,29.71666666666667,0,Temperate,Europe
222,2015,UK,7.3,15.1,2.9,1034,628479992.0,40.7,7,11.2,0,Cold,Europe
223,2015,USA,19.942857142857143,8.785714285714286,4.8,2382,512316859.71428573,23.942857142857143,13,41.357142857142854,1,Temperate,North America
224,2016,'South Africa',19.14,7.42,4.3,2771,741285708.2,25.04,13,47.56,1,Temperate,Africa
225,2016,Argentina,14.2,12.399999999999999,5.0,1819,874105140.0,25.5,3,48.05,0,Temperate,South America
226,2016,Australia,21.4,13.475,4.7,1919,687765937.5,26.5,14,35.0,1,Temperate,Oceania
227,2016,Brazil,24.660000000000004,9.24,4.9,1933,648286561.4,32.66,12,38.779999999999994,1,Warm,South America
228,2016,Canada,25.05,7.1,3.7,2972,492501773.75,34.0,3,38.425,0,Warm,North America
229,2016,China,19.825,4.675,3.5,2669,826703127.0,35.9,12,34.95,1,Temperate,Asia
230,2016,France,32.6,18.1,4.0,1545,333230308.0,49.5,10,64.8,0,Warm,Europe
231,2016,Germany,24.1,5.85,4.1,2373,889274114.0,26.7,9,47.5,0,Warm,Europe
232,2016,India,17.275,11.700000000000001,4.1,2436,779693628.25,24.025,13,36.225,1,Temperate,Asia
233,2016,Indonesia,19.95,7.975,3.3,2981,473988512.0,16.1,13,35.85,1,Temperate,Asia
234,2016,Japan,17.975,17.325,4.8,2524,591327823.25,22.625,14,36.55,1,Temperate,Asia
235,2016,Mexico,14.399999999999999,17.35,3.9,1165,1103205715.5,34.45,2,50.599999999999994,0,Temperate,South America
236,2016,Russia,22.066666666666666,7.099999999999999,2.8,1403,973168626.0,33.166666666666664,14,38.166666666666664,1,Warm,Europe
237,2016,UK,22.925,14.95,3.9,2311,1114005604.25,31.775000000000002,10,42.0,0,Warm,Europe
238,2016,USA,26.133333333333336,9.200000000000001,4.6,2670,860716648.6666666,25.76666666666667,13,37.13333333333333,1,Warm,North America
239,2017,'South Africa',21.6,8.450000000000001,3.0,2857,1132794639.5,27.8,5,35.5,0,Temperate,Africa
240,2017,Australia,26.35,5.15,2.2,1577,751876856.5,10.05,5,37.65,0,Warm,Oceania
241,2017,Brazil,13.299999999999999,10.133333333333333,4.8,2795,741458331.3333334,23.900000000000002,10,46.300000000000004,0,Temperate,South America
242,2017,Canada,15.5,7.199999999999999,3.5,2458,1267688411.5,30.35,9,60.7,0,Temperate,North America
243,2017,China,21.475,9.875,4.4,2868,382156746.25,34.75,13,47.2,1,Temperate,Asia
244,2017,France,21.65,4.0,2.9,2684,811481286.5,33.2,3,43.75,0,Temperate,Europe
245,2017,Germany,19.35,18.2,3.7,2479,852728211.0,33.35,13,42.699999999999996,1,Temperate,Europe
246,2017,India,16.366666666666667,5.3999999999999995,3.6,2677,952925299.3333334,39.766666666666666,12,28.833333333333332,1,Temperate,Asia
